Part Num,Gender,Age,Reside,Student,N4U1,N4U2,N4U3,N4U4,N4U5,N4U6,N4U7,N4U8,N4U9,N4U10,N4U11,N4U12,N4U13,N4U14,N4U15,N4U16,N4U17,N4U18,N4U19,N4U20,N4U21,N4U22,N4U23,N4U24,N4U25,N4U26,N4U27,N4U28,N4U29,N4U30,N4U31,N4U32,N4UTOT,N4U-1,N4U-2,N4U-3
59,2,23,2,1,4,4,2,4,2,4,4,1,2,3,4,4,4,3,3,4,2,3,4,2,3,4,2,4,4,4,5,2,2,2,3,2,100,48,32,20
60,1,22,2,1,2,1,1,3,2,3,3,4,1,2,1,4,4,1,2,3,2,1,3,2,3,2,2,2,2,3,2,2,2,2,1,2,70,31,24,15
61,1,22,1,2,5,5,5,5,4,3,4,1,4,4,5,1,5,3,5,4,5,1,5,4,2,5,5,4,5,5,5,4,1,4,3,2,123,66,33,24
62,2,27,1,2,4,1,4,4,4,2,5,2,2,4,2,4,4,3,4,4,4,2,5,2,3,4,4,4,4,4,4,4,4,4,3,4,112,53,37,22
63,2,25,1,1,2,2,4,2,4,1,1,4,4,1,4,1,5,1,4,4,4,1,2,1,2,4,1,4,4,4,4,5,4,2,4,2,92,52,18,22
64,2,18,1,1,2,2,2,3,2,2,5,2,3,3,3,2,4,3,3,2,3,5,2,2,2,2,2,2,3,3,4,3,1,3,3,3,86,40,32,14
65,1,23,1,1,2,4,3,5,3,2,3,1,5,2,3,2,5,2,4,4,5,1,5,1,3,4,5,4,3,5,3,4,5,3,4,4,109,60,31,18
66,1,35,1,2,4,4,5,5,5,2,5,4,5,3,4,4,2,3,4,4,5,1,4,4,5,5,4,4,5,5,4,4,3,4,2,3,125,62,38,25
67,1,20,2,1,3,4,5,5,2,2,3,1,4,4,3,4,2,3,3,3,2,2,5,4,4,4,4,3,4,4,3,2,4,3,3,4,106,51,38,17
68,2,56,1,2,3,1,1,5,2,1,3,4,2,4,2,3,3,3,3,3,1,1,1,3,3,2,2,4,4,2,2,3,5,3,3,2,84,30,33,21
69,1,42,1,2,1,4,5,5,3,1,2,4,4,4,4,5,3,3,1,5,1,3,2,4,5,3,4,5,4,5,5,5,4,4,4,4,116,57,39,20
70,2,35,1,1,3,2,3,4,3,1,3,1,3,3,4,3,2,2,2,4,2,1,2,2,4,4,3,2,4,3,2,3,3,3,3,2,86,42,28,16
71,2,45,1,2,1,1,1,5,5,5,5,5,1,5,1,1,1,1,1,5,1,1,1,1,5,1,3,5,5,5,4,5,5,1,1,1,89,32,35,22
72,2,35,1,2,2,2,2,4,4,1,3,2,2,2,2,3,3,1,1,2,2,1,4,2,3,3,3,4,4,4,3,2,2,4,2,2,81,41,25,15
73,1,37,1,2,2,4,4,4,3,1,3,1,4,3,4,2,3,3,4,4,4,4,4,2,3,4,3,3,4,4,4,3,4,3,4,3,105,54,33,18
74,2,45,1,1,3,3,4,3,4,2,5,2,2,3,4,2,4,3,4,4,3,3,3,3,3,4,4,2,3,4,4,4,3,3,3,4,105,52,35,18
75,2,40,1,2,1,3,3,3,4,1,2,3,3,3,3,2,4,3,2,3,2,2,4,3,2,4,3,2,2,5,3,3,4,2,2,2,88,48,27,13
76,1,45,1,1,5,4,1,2,5,1,5,2,4,2,5,3,4,3,1,4,5,1,4,1,3,5,5,3,4,5,5,5,2,3,5,2,109,65,25,19
77,2,36,1,1,4,2,3,3,5,3,4,2,3,1,3,5,3,3,4,4,1,4,1,3,2,4,3,3,5,4,5,4,3,2,1,1,98,47,29,22
78,2,25,1,2,1,3,2,1,3,1,5,1,1,3,1,1,5,3,1,1,1,5,5,5,1,3,2,1,1,4,1,1,5,3,1,3,75,34,35,6
79,2,61,1,2,2,2,2,1,4,1,2,4,1,2,2,2,3,2,2,4,4,1,4,2,4,4,3,2,4,4,2,2,5,3,2,3,85,41,26,18
80,2,45,1,2,1,3,4,5,4,1,3,4,5,4,4,5,3,5,2,4,5,2,5,2,5,5,5,4,4,5,5,5,5,1,5,2,122,68,35,19
81,2,26,1,1,1,1,2,5,4,1,2,1,1,4,1,2,4,3,2,1,1,3,2,4,3,4,2,1,2,3,2,2,2,2,2,3,73,33,32,8
82,2,59,1,2,4,3,2,3,4,1,2,4,2,4,3,4,4,2,3,2,3,1,4,1,4,4,2,3,3,4,4,2,3,4,2,3,94,47,28,19
83,1,66,1,2,4,4,5,5,4,3,5,1,3,5,2,2,2,5,4,5,5,1,4,4,4,4,5,3,5,5,4,4,5,3,2,5,122,55,45,22
84,2,27,2,2,2,1,3,4,4,1,3,2,1,4,2,3,4,2,2,3,4,1,4,2,2,4,4,3,3,4,4,2,5,2,2,4,91,46,30,15
85,2,22,1,1,1,2,3,4,4,1,5,2,2,5,4,4,3,4,4,2,4,4,5,4,4,4,4,2,5,4,4,3,4,4,3,4,112,53,43,16
86,1,41,1,2,2,2,2,5,3,1,3,3,3,2,3,3,4,2,4,4,2,2,3,3,4,4,2,3,4,4,4,2,4,2,3,3,95,44,31,20
87,2,50,1,2,5,2,4,3,3,1,3,3,2,3,3,4,2,3,4,3,2,2,3,2,4,4,4,3,5,4,4,3,4,3,3,3,101,47,31,23
88,2,45,1,2,2,2,2,4,3,1,2,3,2,2,3,3,4,2,3,3,3,2,2,2,3,3,2,2,4,4,3,3,2,2,2,2,82,41,24,17
89,1,55,1,2,2,2,3,4,4,2,4,1,4,4,1,4,2,3,3,2,2,2,2,3,4,4,3,2,3,4,3,2,4,3,3,4,93,43,37,13
90,2,27,1,1,4,4,2,2,4,1,4,3,4,1,5,4,3,4,3,2,4,5,4,2,4,5,4,3,4,4,5,4,3,3,4,4,112,60,33,19
91,2,21,1,1,2,2,2,4,4,2,2,1,2,2,2,5,3,2,2,3,2,2,2,3,3,4,2,2,2,3,4,3,4,2,2,3,83,42,29,12
92,2,21,1,2,1,1,2,4,1,1,4,4,1,3,1,3,2,1,1,1,2,5,2,5,3,2,2,3,1,2,1,1,1,1,2,4,68,25,32,11
93,2,18,2,1,3,5,3,3,5,4,4,2,4,3,3,1,2,2,4,2,2,2,3,4,4,3,3,3,4,4,5,3,5,2,2,3,102,48,36,18
94,1,27,1,2,4,3,4,5,4,4,4,4,4,4,4,4,5,3,4,5,4,5,3,4,4,3,5,4,4,4,4,3,4,4,2,4,126,56,45,25
95,1,18,2,1,3,1,2,3,4,1,2,1,2,4,1,2,3,4,3,3,4,3,5,5,5,4,4,4,5,4,4,2,4,4,3,4,103,45,39,19
96,1,26,2,2,1,1,1,5,2,3,4,2,2,5,4,2,5,4,2,2,1,1,3,3,3,4,2,1,2,4,3,2,5,4,1,5,89,37,42,10
97,1,20,2,1,4,4,4,4,3,1,4,2,5,5,4,3,2,4,2,3,4,4,4,5,3,3,4,4,5,4,4,2,5,4,4,4,117,54,43,20
98,1,27,2,2,2,2,2,5,2,4,4,2,1,4,2,2,2,2,2,3,1,3,2,4,4,3,4,2,4,4,4,2,4,2,2,4,90,35,40,15
99,1,47,1,2,4,2,4,2,4,4,2,3,3,2,4,4,4,4,3,4,3,3,4,4,3,5,5,5,5,5,5,3,3,3,4,4,117,59,34,24
100,2,27,1,2,4,3,4,4,3,1,2,1,2,2,4,4,4,2,4,4,4,1,3,1,3,4,4,4,4,3,3,4,3,3,2,3,97,51,25,21
101,2,44,1,1,1,5,1,1,5,1,5,1,2,1,5,4,2,5,1,1,4,1,5,1,4,5,5,1,2,5,4,1,1,1,2,1,84,55,22,7
102,2,32,1,1,1,2,2,4,2,1,5,1,2,4,2,4,2,5,1,1,2,4,5,4,4,5,2,1,1,5,5,2,4,4,2,1,90,44,40,6
103,2,23,1,1,1,1,2,4,2,1,2,1,1,3,1,2,2,2,3,3,1,2,2,3,4,3,2,1,3,3,2,2,2,3,2,3,69,28,29,12
104,2,51,1,2,3,2,2,3,3,1,4,1,2,4,4,1,5,5,2,3,3,1,4,4,3,4,5,3,3,4,4,4,4,3,4,5,103,51,37,15
105,1,19,1,1,2,4,3,1,3,1,4,1,4,3,3,3,4,2,3,3,2,1,4,2,2,3,3,2,5,1,4,2,2,3,1,1,82,44,22,16
106,2,36,1,2,3,5,2,4,2,1,4,2,3,3,3,4,4,3,3,3,3,1,3,3,3,3,4,3,3,3,3,3,4,3,3,2,96,48,31,17
107,1,62,1,2,2,3,4,2,3,1,1,2,3,1,4,2,4,2,3,4,3,2,3,2,3,4,4,3,4,4,4,4,4,2,3,2,92,52,22,18
108,2,41,1,1,5,4,3,1,4,1,2,5,3,1,3,5,3,1,1,3,2,1,1,3,3,5,3,3,4,5,3,1,3,3,2,1,88,47,20,21
109,2,68,1,2,5,2,5,4,2,5,3,1,4,2,2,3,4,2,3,3,2,3,3,2,4,2,2,4,2,2,3,2,2,4,1,2,90,39,33,18
110,2,37,1,2,3,1,2,2,3,1,2,4,3,4,3,4,4,3,4,3,4,1,4,2,3,4,4,3,3,5,3,3,3,2,4,3,97,51,26,20
111,2,52,1,2,1,3,2,1,2,1,5,4,2,5,4,2,5,2,4,4,4,1,4,3,4,4,4,4,4,4,5,5,5,4,3,2,107,53,33,21
112,2,49,1,2,2,5,4,3,3,1,4,1,2,4,3,3,4,2,4,4,4,3,3,2,3,4,2,2,3,4,5,5,4,4,4,4,105,55,34,16
113,2,63,1,2,4,2,5,5,5,2,5,5,2,5,4,3,1,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,2,5,4,5,136,61,47,28
114,2,54,1,1,4,4,4,4,5,3,3,2,3,4,4,2,4,4,4,4,4,3,2,4,4,4,3,4,5,5,5,5,5,5,5,5,126,59,44,23
115,3,37,1,2,3,4,4,2,5,1,5,1,4,2,3,1,5,3,4,4,5,1,5,3,3,5,4,3,4,5,5,5,5,2,4,2,112,64,29,19
116,2,20,1,1,4,2,4,4,4,4,2,2,5,2,2,5,2,3,3,3,2,4,5,5,3,4,5,4,5,4,3,3,1,5,3,4,111,53,37,21
117,2,69,1,2,4,2,5,1,5,1,5,3,2,1,2,1,5,2,1,5,5,1,2,1,3,4,5,4,5,4,4,5,5,2,4,4,103,55,26,22
118,2,48,1,2,5,3,5,3,3,1,2,1,4,5,5,3,4,3,4,5,5,2,5,3,3,5,5,5,5,5,5,5,5,3,4,4,125,66,34,25
119,1,23,1,2,5,1,1,5,3,1,5,1,1,5,1,1,5,2,5,5,3,1,5,1,2,5,5,5,5,5,1,1,5,5,2,5,103,40,37,26
120,2,42,1,2,3,2,2,2,3,1,5,3,2,2,5,1,4,4,2,4,5,1,5,1,1,5,5,3,4,5,5,5,4,2,5,2,103,59,25,19
121,2,19,2,1,4,2,1,4,5,1,2,4,3,5,4,4,2,2,3,4,1,2,1,4,4,3,3,4,4,4,4,2,1,5,2,5,99,41,35,23
122,2,18,1,1,2,2,2,5,4,4,2,4,2,5,2,4,1,2,4,3,2,2,4,4,3,2,2,2,2,2,4,2,2,3,2,4,90,37,36,17
123,2,25,2,2,3,2,2,4,2,2,4,2,2,4,3,3,3,2,3,3,2,2,3,3,4,3,4,2,2,4,2,2,4,3,2,4,90,39,36,15
124,1,33,1,2,4,2,4,4,2,2,2,1,4,4,3,2,4,2,2,4,4,2,2,2,3,4,3,2,4,3,4,2,4,2,2,3,92,45,30,17
125,2,33,2,2,2,2,2,4,2,1,4,2,2,4,2,4,4,2,2,2,3,1,2,4,3,2,2,2,2,3,2,2,4,2,2,2,79,36,31,12
126,2,25,1,1,3,2,2,3,5,2,3,1,3,2,2,3,5,3,5,5,4,5,5,3,3,5,5,5,5,5,5,3,4,3,3,3,115,57,34,24
127,2,38,1,2,2,2,3,2,4,1,2,2,1,3,3,2,4,2,3,3,2,3,2,2,2,4,2,2,3,2,3,4,3,3,3,3,82,41,26,15
128,1,25,2,2,2,3,2,5,4,1,5,4,2,4,1,2,4,2,2,2,2,1,1,3,5,4,3,2,3,3,2,2,4,2,2,3,87,37,35,15
129,2,18,1,1,2,1,2,3,5,4,3,5,3,3,1,5,3,2,5,4,5,5,5,2,5,4,5,2,5,5,3,3,1,5,4,4,114,54,37,23
130,2,23,1,1,3,1,1,2,2,1,5,5,3,3,5,1,5,5,4,4,1,3,1,2,1,1,2,5,5,2,5,3,3,3,3,2,92,36,30,26
131,1,24,2,1,4,1,1,5,5,1,3,4,2,5,1,5,2,2,2,4,4,3,4,4,4,4,4,4,4,4,4,2,4,3,2,4,105,45,38,22
132,2,55,2,2,2,4,5,5,3,4,5,3,3,5,4,1,3,5,3,3,4,1,5,4,4,5,4,3,3,5,5,3,5,4,5,5,123,59,47,17
133,1,40,2,2,5,5,5,5,5,5,3,4,4,5,4,4,2,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,2,5,146,66,51,29
134,2,18,1,1,1,3,1,5,1,1,5,3,1,2,1,5,5,1,1,1,1,3,1,1,3,3,1,1,1,2,1,1,4,1,1,1,63,28,27,8
135,1,64,1,2,3,3,4,3,4,3,5,2,3,3,4,3,2,3,4,3,3,2,2,3,3,4,4,3,4,4,4,4,4,3,3,4,106,51,36,19
136,2,30,2,2,4,2,3,5,3,2,4,2,4,4,2,2,4,4,2,2,4,1,5,4,4,4,2,2,2,4,4,2,4,2,2,4,99,47,38,14
137,2,24,2,1,2,3,4,4,4,4,4,2,4,4,4,4,2,3,3,4,4,2,3,4,4,4,4,4,4,5,4,3,4,4,3,4,115,55,41,19
138,1,24,1,2,1,1,2,3,1,1,2,1,2,5,1,3,4,4,1,1,4,3,5,2,3,4,5,1,1,4,2,1,3,4,3,3,81,42,33,6
139,2,22,1,2,1,1,2,5,3,3,4,1,1,3,1,4,3,2,2,2,1,1,1,3,4,5,2,2,5,3,2,1,3,3,1,2,77,31,33,13
140,1,27,2,2,3,4,3,5,3,1,4,2,2,4,2,2,4,2,3,4,2,1,4,3,3,3,4,4,3,4,3,3,5,2,2,3,97,45,33,19
141,1,55,2,2,4,2,4,5,4,3,3,3,2,3,2,4,1,3,4,4,5,3,5,4,4,4,5,5,5,4,2,5,3,5,4,3,117,53,39,25
142,2,33,2,2,1,1,2,5,4,4,5,1,2,4,1,2,4,4,1,1,2,1,4,5,2,4,2,1,2,4,2,2,2,2,2,2,81,38,36,7
143,2,29,1,1,3,2,4,4,3,1,3,2,4,3,4,3,4,3,4,4,4,4,4,2,4,5,4,4,5,4,4,4,2,3,4,4,112,57,33,22
144,1,34,2,2,2,2,2,5,2,2,4,2,5,4,4,4,2,3,3,4,3,2,4,2,4,3,5,2,3,3,4,1,4,4,1,4,99,45,38,16
145,1,18,1,1,1,2,2,2,2,1,4,2,4,4,2,1,5,4,2,2,1,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,66,31,25,10
146,2,46,1,1,3,4,2,2,3,1,4,4,2,1,2,1,3,4,3,3,4,5,3,1,1,4,3,1,4,4,3,3,4,1,3,1,87,44,25,18
147,2,33,1,1,5,1,2,3,3,1,2,1,1,3,3,3,5,1,3,3,1,1,1,4,3,2,2,5,3,3,1,2,4,3,2,3,80,32,28,20
148,2,24,1,2,5,3,4,3,4,4,1,2,4,4,3,5,3,3,4,4,3,1,1,3,3,4,4,5,4,3,4,2,4,3,4,4,108,51,33,24
149,2,46,1,1,4,2,4,1,4,1,3,2,4,4,4,1,5,3,4,3,4,3,4,4,3,4,5,4,4,4,5,3,3,3,2,3,107,55,31,21
150,1,52,1,2,2,2,4,3,4,1,3,1,2,3,3,1,2,3,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,3,105,51,36,18
151,1,22,2,1,4,2,2,4,4,2,4,2,2,4,1,2,4,2,3,4,2,2,2,2,3,4,2,2,4,3,4,2,2,2,2,2,86,38,29,19
152,1,57,1,2,4,2,3,5,4,5,5,3,4,5,4,5,4,2,5,5,4,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,138,63,48,27
153,1,49,1,2,2,1,2,4,4,1,2,1,1,3,2,4,3,2,3,3,3,2,2,2,3,2,2,2,3,3,3,2,4,3,2,3,79,36,29,14
154,1,48,1,1,4,2,2,2,4,4,3,2,4,4,4,4,2,4,4,4,4,5,4,4,4,4,4,4,4,4,4,2,4,4,4,4,116,52,42,22
155,2,19,1,1,4,1,2,4,2,1,3,2,2,4,2,4,4,2,2,2,2,2,1,2,2,4,4,4,2,4,3,2,4,2,4,2,85,41,28,16
156,2,25,1,1,5,3,2,4,3,4,3,3,3,2,3,3,3,3,4,4,3,3,3,4,2,3,3,3,4,4,2,3,1,3,3,3,99,44,32,23
157,2,21,1,1,1,4,3,3,5,2,5,5,2,4,5,1,3,4,5,5,3,2,2,5,4,2,2,4,5,3,2,2,2,3,2,4,104,41,38,25
158,1,20,1,1,4,2,4,2,5,2,2,1,2,2,4,4,4,4,4,3,2,3,2,2,4,2,4,3,4,4,2,4,3,2,5,2,97,50,28,19
159,2,21,1,1,3,2,5,3,2,1,1,5,2,4,1,4,2,1,3,4,4,5,4,2,4,5,4,4,5,4,3,2,5,3,2,4,103,46,33,24
160,2,31,1,1,4,5,5,2,4,4,2,1,4,5,4,2,4,4,4,4,5,5,5,2,4,5,5,4,5,5,5,5,5,3,5,4,130,68,40,22
161,1,20,1,1,4,3,3,4,4,4,2,2,2,4,2,4,4,2,2,3,2,3,2,2,4,2,4,2,4,4,4,2,4,2,4,3,97,46,34,17
162,1,27,1,1,5,2,2,4,2,1,3,2,2,4,2,3,3,2,3,4,2,4,4,3,4,3,3,4,4,4,3,4,4,2,4,2,98,43,33,22
163,2,19,1,1,4,3,3,4,4,1,3,1,3,3,3,2,3,2,2,2,2,3,5,3,2,4,4,4,4,4,4,3,4,2,2,3,96,49,30,17
164,2,19,1,1,3,3,4,3,2,1,2,1,3,2,4,1,2,2,2,3,5,1,5,3,3,3,4,3,3,4,3,3,2,2,3,2,87,49,23,15
165,2,19,1,1,2,1,2,5,2,1,2,1,4,2,2,2,4,2,2,4,2,2,2,2,2,4,4,2,4,4,4,2,2,4,2,2,82,41,26,15
